S/N,Model,Headset,Info
381000007,ECH26MG 0 608 841 017,WH1 0 608 810 035,Skalibrowana - do wyniesienia // 2016-11-14 05:24:31
961000014,ECH57MG 0 608 841 011,WH2 0 608 810 040, 
189000039,ECH26MG 0 608 841 017, , 
485000016,ECH26MG 0 608 841 017,WH2 0 608 810 040,Wyz�omowana. W jej miejsce otrzymali�my 305000006
684000002,ECH57MG 0 608 841 011,WH2 0 608 810 040, 
188000004,BG 5,3 609 407 374 + L�bbering 89 824 003, 
387000002,BG 5,3 609 407 374 + L�bbering 89 824 003 ,co dalej? Pytanie do Jacka i Czarka. // 2018-05-19 00:58:39
285000026,BG 4,4VMC360 0 608 801 006, 
284000042,BG 4,4VMC360 0 608 801 006, 
285000076,BG 4, 4VMC360 0 608 801 006,nadstan
284000017,BG 4,4VMC360 0 608 801 006, 
284000036,BG 4,4W4 0 608 810 014, 
284000050,BG 4,4VMC360 0 608 801 006, 
284000041,BG 4,4VMC360 0 608 801 006, 
285000072,BG 4,4VMC360 0 608 801 006, 
284000013,BG 4,4VMC360 0 608 801 006, 
284000031,BG 4,0 608 PE1 057, 
286000010,ECH57MG 0 608 841 011,WH4 0 608 810 031, 
992000059,BG 4,4W130 0 608 810 045, Fizycznie na MP3.4 do zdemontowania po zamianie na ECH
489000020,ECH57MG 0 608 841 011,WH4 0 608 810 031, 
286000027,BG 4,VUK2D242 0 608 PE0 588, 
290000009,ECH57MG 0 608 841 011, , 
890000006,ESV073 ,ESOA073 0 608 810 052 + Special version, 
681000010,ESA100S, ,Do diagnostyki(Kieryk) // 2018-11-30 05:23:08
689000002,ECH57MG 0 608 841 011,WH3 0 608 810 029, 
883000005_ESA100S,ESA100S, ,Nieu�ywana z MP5
101000006,ESA150S, , 
289000015,ECH57MG 0 608 841 011,WH4 0 608 810 031,Nieu�ywana z MP110/MP120 
287000023,BG 5,3 609 407 374 +L�bbering 89 644 002, 
684000001,ECH57MG 0 608 841 011,WH2 0 608 810 040, 
286000007_ECH,ECH57MG 0 608 841 011,WH4 0 608 810 031,transducer 1 type has been changed // 2018-04-13 05:04:16
584000003,ESA056G, , // 2017-01-23 09:32:54
391000035,ECH26MG 0 608 841 017,WH3 0 608 810 029, 
687000004,ECH26MG 0 608 841 017,L�bbering 80 431 004,Wymiana silnika
